timestamp,altitudeAboveGroundLevel,pressure
100.793624,-0.845542908,100533.422
100.813624,-0.816474915,100533.086
100.833628,-0.803268433,100532.922
100.853648,-0.813835144,100533.062
100.873624,-0.821762085,100533.164
100.893624,-0.848182678,100533.453
100.913624,-0.845542908,100533.438
100.933656,-0.86403656,100533.656
100.953644,-0.86668396,100533.703
100.973632,-0.890464783,100533.969
100.993624,-0.935379028,100534.516
101.013624,-0.943305969,100534.602
101.033628,-0.901031494,100534.094
101.053632,-0.911598206,100534.234
101.073628,-0.908958435,100534.18
101.093624,-0.903671265,100534.117
101.113624,-0.893104553,100534.016
101.133628,-0.932739258,100534.484
101.153628,-0.898391724,100534.062
101.173624,-0.86139679,100533.617
101.193624,-0.874610901,100533.797
101.213628,-0.86932373,100533.727
101.233628,-0.938026428,100534.555
101.253628,-0.956520081,100534.766
101.273632,-0.996154785,100535.227
101.293632,-1.03314972,100535.688
101.313628,-1.05164337,100535.891
101.333628,-1.10977173,100536.602
101.353632,-1.0490036,100535.852
101.37364,-1.09920502,100536.477
101.393636,-1.12562561,100536.773
101.413628,-1.09127808,100536.359
101.433632,-1.08071136,100536.25
101.453636,-1.15205383,100537.094
101.473624,-1.15733337,100537.156
101.493628,-1.1546936,100537.133
101.513636,-1.10977173,100536.594
101.533632,-1.08599091,100536.297
101.553632,-1.09127808,100536.367
101.573628,-1.05428314,100535.93
101.593628,-1.03842926,100535.727
101.613628,-0.975013733,100534.977
101.633632,-0.975013733,100534.977
101.653632,-0.906318665,100534.148
101.673628,-0.874610901,100533.766
101.693628,-0.832328796,100533.281
101.71364,-0.771560669,100532.555
101.733648,-0.790054321,100532.789
101.753632,-0.697570801,100531.664
101.773628,-0.671150208,100531.359
101.793628,-0.597167969,100530.484
101.813628,-0.570739746,100530.148
101.833632,-0.636802673,100530.93
101.853636,-0.668510437,100531.328
101.873628,-0.69493103,100531.625
101.893628,-0.713424683,100531.867
101.913896,-0.729278564,100532.039
101.933664,-0.750419617,100532.305
101.953648,-0.755706787,100532.352
101.973632,-0.739852905,100532.188
101.993628,-0.742492676,100532.219
102.013632,-0.763633728,100532.445
102.033632,-0.819122314,100533.109
102.053636,-0.819122314,100533.117
102.073632,-0.771560669,100532.539
102.093628,-0.766273499,100532.492
102.113632,-0.803268433,100532.914
102.133636,-0.784767151,100532.719
102.15366,-0.795341492,100532.836
102.173632,-0.811195374,100533.023
102.193632,-0.840255737,100533.383
102.213632,-0.882537842,100533.875
102.233636,-0.943305969,100534.602
102.253636,-0.908958435,100534.195
102.273632,-0.887817383,100533.945
102.293636,-0.927452087,100534.406
102.313632,-0.877250671,100533.812
102.333636,-0.86139679,100533.609
102.353632,-0.901031494,100534.086
102.373632,-0.890464783,100533.961
102.393632,-0.86932373,100533.727
102.413648,-0.885177612,100533.922
102.433636,-0.930099487,100534.445
102.45364,-0.964447021,100534.859
102.473632,-0.975013733,100534.992
102.493636,-0.956520081,100534.758
102.51364,-0.943305969,100534.609
102.533636,-0.930099487,100534.438
102.55364,-0.935379028,100534.5
102.573632,-0.906318665,100534.148
102.593632,-0.890464783,100533.977
102.613632,-0.853469849,100533.523
102.633652,-0.890464783,100533.977
102.653636,-0.898391724,100534.078
102.673632,-0.893104553,100534.008
102.693632,-0.906318665,100534.148
102.713652,-0.895744324,100534.047
102.733636,-0.893104553,100533.992
102.75364,-0.916885376,100534.297
102.773632,-0.932739258,100534.461
102.793636,-0.903671265,100534.125
102.813636,-0.86668396,100533.688
102.833652,-0.86668396,100533.688
102.85366,-0.882537842,100533.883
102.873636,-0.811195374,100533.016
102.893636,-0.821762085,100533.164
102.913636,-0.829689026,100533.242
102.93364,-0.86403656,100533.672
102.953656,-0.879890442,100533.852
102.973636,-0.893104553,100534
102.993636,-0.86139679,100533.617
103.013636,-0.895744324,100534.031
103.03364,-0.848182678,100533.453
103.05364,-0.858757019,100533.586
103.07364,-0.906318665,100534.172
103.09364,-0.938026428,100534.555
103.113636,-0.94859314,100534.664
103.133648,-0.980300903,100535.039
103.15364,-0.967086792,100534.898
103.173648,-0.964447021,100534.867
103.193648,-0.940666199,100534.57
103.213636,-0.956520081,100534.766
103.23364,-0.975013733,100534.977
103.25364,-1.02257538,100535.547
103.273636,-1.02257538,100535.562
103.293636,-1.01993561,100535.531
103.31364,-1.06221008,100536.008
103.333644,-1.08863831,100536.336
103.35364,-1.08599091,100536.289
103.373636,-1.13883972,100536.93
103.39364,-1.12298584,100536.734
103.41364,-1.10449219,100536.531
103.43364,-1.10184479,100536.492
103.453644,-1.07278442,100536.156
103.473644,-1.06749725,100536.086
103.49364,-1.08863831,100536.336
103.51364,-1.04371643,100535.797
103.533644,-1.08599091,100536.289
103.55364,-1.08599091,100536.289
103.57364,-1.09656525,100536.43
103.59364,-1.11241913,100536.617
103.613648,-1.15733337,100537.141
103.633648,-1.14940643,100537.055
103.653644,-1.16526031,100537.266
103.673644,-1.14147949,100536.969
103.69364,-1.11769867,100536.688
103.71364,-1.10184479,100536.492
103.733644,-1.10449219,100536.539
103.75364,-1.12034607,100536.703
103.77364,-1.12562561,100536.766
103.79364,-1.11769867,100536.68
103.81364,-1.06485748,100536.039
103.833648,-1.09391785,100536.406
103.853648,-1.07542419,100536.172
103.87364,-1.04107666,100535.758
103.89364,-1.01464844,100535.453
103.913908,-0.945953369,100534.625
103.933656,-0.906318665,100534.172
103.953668,-0.858757019,100533.602
103.97364,-0.795341492,100532.844
103.993652,-0.766273499,100532.484
104.013644,-0.737205505,100532.156
104.033648,-0.731925964,100532.078
104.053652,-0.679077148,100531.445
104.07364,-0.628875732,100530.852
104.093648,-0.613021851,100530.648
104.113644,-0.60509491,100530.562
104.133648,-0.60244751,100530.531
104.153648,-0.626228333,100530.805
104.173648,-0.679077148,100531.438
104.193644,-0.721351624,100531.953
104.213644,-0.800621033,100532.891
104.233648,-0.784767151,100532.711
104.253648,-0.805908203,100532.953
104.273644,-0.800621033,100532.906
104.293656,-0.824401855,100533.18
104.313644,-0.845542908,100533.445
104.333644,-0.903671265,100534.133
104.353648,-0.890464783,100533.969
104.373644,-0.898391724,100534.078
104.393652,-0.901031494,100534.094
104.413656,-0.827049255,100533.211
104.433656,-0.848182678,100533.477
104.45366,-0.848182678,100533.477
104.473644,-0.834976196,100533.32
104.49366,-0.858757019,100533.594
104.513656,-0.827049255,100533.227
104.533648,-0.811195374,100533.031
104.553652,-0.829689026,100533.242
104.573644,-0.850830078,100533.484
104.593656,-0.797981262,100532.859
104.61366,-0.763633728,100532.445
104.633644,-0.790054321,100532.758
104.653648,-0.78212738,100532.688
104.673644,-0.792694092,100532.805
104.693644,-0.792694092,100532.797
104.713648,-0.805908203,100532.977
104.733652,-0.850830078,100533.516
104.753652,-0.879890442,100533.836
104.773648,-0.86668396,100533.68
104.793644,-0.86403656,100533.664
104.813672,-0.893104553,100533.992
104.833664,-0.879890442,100533.859
104.853652,-0.874610901,100533.797
104.873648,-0.887817383,100533.945
104.893648,-0.927452087,100534.422
104.913648,-0.901031494,100534.086
104.933652,-0.908958435,100534.188
104.953652,-0.882537842,100533.883
104.973648,-0.901031494,100534.109
104.993648,-0.927452087,100534.406
105.013648,-0.895744324,100534.031
105.033652,-0.927452087,100534.406
105.053668,-0.935379028,100534.5
105.07366,-0.911598206,100534.234
105.093648,-0.906318665,100534.156
105.113648,-0.911598206,100534.219
105.13366,-0.940666199,100534.57
105.153668,-0.985588074,100535.109
105.17366,-0.988227844,100535.141
105.193648,-0.996154785,100535.234
105.213652,-0.972373962,100534.945
105.233652,-0.982940674,100535.078
105.253652,-0.969734192,100534.93
105.273652,-0.980300903,100535.047
105.293652,-0.993515015,100535.211
105.313652,-0.969734192,100534.914
105.333652,-1.00408173,100535.312
105.353652,-1.03050232,100535.648
105.373648,-0.967086792,100534.898
105.393652,-0.95123291,100534.711
105.413656,-0.975013733,100534.992
105.433652,-0.935379028,100534.508
105.453648,-0.940666199,100534.57
105.473648,-0.932739258,100534.484
105.493652,-0.914245605,100534.242
105.513652,-0.967086792,100534.891
105.533656,-0.967086792,100534.883
105.553656,-0.95123291,100534.703
105.573652,-0.982940674,100535.078
105.593652,-0.967086792,100534.883
105.613668,-0.935379028,100534.5
105.633676,-0.964447021,100534.852
105.653652,-0.982940674,100535.078
105.673652,-0.959159851,100534.789
105.693652,-0.969734192,100534.922
105.713652,-0.959159851,100534.805
105.733656,-0.95123291,100534.703
105.753656,-0.95123291,100534.711
105.773652,-0.959159851,100534.781
105.793652,-0.988227844,100535.141
105.813656,-1.01464844,100535.461
105.833664,-1.0463562,100535.82
105.85366,-1.03050232,100535.656
105.873652,-1.07013702,100536.117
105.893652,-1.05957031,100535.984
105.913916,-1.02257538,100535.562
105.933656,-1.07542419,100536.164
105.953668,-1.10449219,100536.516
105.973664,-1.08863831,100536.336
105.99366,-1.10713196,100536.57
106.01366,-1.08599091,100536.305
106.033652,-1.09920502,100536.469
106.053652,-1.07013702,100536.117
106.073656,-1.09391785,100536.398
106.093652,-1.0463562,100535.82
106.113656,-1.02522278,100535.586
106.133656,-1.0093689,100535.406
106.15366,-0.967086792,100534.891
106.17366,-0.924812317,100534.375
106.193652,-0.887817383,100533.938
106.213656,-0.906318665,100534.164
106.233656,-0.86139679,100533.633
106.253664,-0.821762085,100533.156
106.273652,-0.819122314,100533.125
106.293656,-0.834976196,100533.32
106.313656,-0.827049255,100533.211
106.33366,-0.845542908,100533.422
106.35366,-0.787414551,100532.75
106.37366,-0.792694092,100532.805
106.39366,-0.795341492,100532.836
106.413664,-0.816474915,100533.086
106.43366,-0.877250671,100533.805
106.453668,-0.882537842,100533.875
106.473656,-0.850830078,100533.5
106.493656,-0.840255737,100533.367
106.513668,-0.837615967,100533.328
106.533656,-0.890464783,100533.961
106.553664,-0.916885376,100534.273
106.573656,-0.906318665,100534.172
106.59366,-0.893104553,100534.008
106.61366,-0.86668396,100533.68
106.633672,-0.86403656,100533.648
106.65366,-0.858757019,100533.586
106.673656,-0.898391724,100534.055
106.693656,-0.856109619,100533.547
106.71366,-0.874610901,100533.789
106.733664,-0.879890442,100533.836
106.753664,-0.871963501,100533.75
106.773656,-0.901031494,100534.102
106.79366,-0.919525146,100534.312
106.81366,-0.932739258,100534.461
106.833664,-0.903671265,100534.133
106.853664,-0.895744324,100534.047
106.87366,-0.874610901,100533.781
106.89366,-0.86403656,100533.664
106.91366,-0.86139679,100533.641
106.933668,-0.86403656,100533.656
106.953668,-0.871963501,100533.734
106.973668,-0.858757019,100533.586
106.99366,-0.856109619,100533.57
107.01366,-0.877250671,100533.805
107.03366,-0.879890442,100533.844
107.053664,-0.874610901,100533.781
107.07366,-0.890464783,100533.977
107.09366,-0.86403656,100533.656
107.11366,-0.885177612,100533.906
107.13366,-0.940666199,100534.57
107.153664,-0.961807251,100534.836
107.173668,-0.996154785,100535.242
107.19366,-1.0067215,100535.359
107.21366,-0.95123291,100534.688
107.233664,-0.938026428,100534.555
107.253664,-0.980300903,100535.031
107.27366,-0.961807251,100534.82
107.293664,-0.975013733,100534.984
107.31366,-0.980300903,100535.039
107.33366,-0.967086792,100534.883
107.35366,-0.980300903,100535.055
107.373664,-0.980300903,100535.039
107.393664,-0.927452087,100534.406
107.41366,-0.975013733,100534.992
107.433668,-0.993515015,100535.219
107.453664,-0.94859314,100534.664
107.47366,-0.887817383,100533.93
107.49366,-0.908958435,100534.18
107.513668,-0.903671265,100534.133
107.533668,-0.977661133,100535.016
107.553664,-0.977661133,100535
107.573664,-0.924812317,100534.375
107.593668,-0.935379028,100534.508
107.613672,-0.943305969,100534.586
107.633664,-0.956520081,100534.766
107.653664,-0.930099487,100534.453
107.673664,-0.932739258,100534.492
107.69366,-0.914245605,100534.25
107.713664,-0.885177612,100533.914
107.733688,-0.906318665,100534.164
107.753668,-0.874610901,100533.797
107.773664,-0.871963501,100533.758
107.793664,-0.827049255,100533.227
107.813664,-0.837615967,100533.344
107.833668,-0.842903137,100533.414
107.853664,-0.834976196,100533.297
107.873664,-0.832328796,100533.266
107.893664,-0.821762085,100533.156
107.913932,-0.871963501,100533.75
107.933684,-0.895744324,100534.031
107.95368,-0.86403656,100533.656
107.973664,-0.845542908,100533.445
107.993664,-0.858757019,100533.586
108.013668,-0.813835144,100533.047
108.033672,-0.824401855,100533.18
108.053672,-0.86139679,100533.625
108.073672,-0.858757019,100533.594
108.093668,-0.893104553,100534.008
108.113672,-0.943305969,100534.609
108.133668,-1.02522278,100535.57
108.153688,-1.01993561,100535.508
108.173676,-1.05164337,100535.883
108.193664,-1.0463562,100535.836
108.213668,-1.02786255,100535.617
108.233668,-1.06749725,100536.078
108.253672,-1.05428314,100535.93
108.27368,-1.08335114,100536.266
108.29368,-1.10184479,100536.5
108.313668,-1.08599091,100536.289
108.333668,-1.12034607,100536.719
108.353672,-1.06221008,100536.031
108.373672,-1.08071136,100536.25
108.393672,-1.08863831,100536.32
108.413668,-1.03578949,100535.695
108.433672,-1.05693054,100535.953
108.453672,-1.04371643,100535.797
108.473668,-0.977661133,100535
108.493668,-0.911598206,100534.219
108.513668,-0.890464783,100533.969
108.533672,-0.871963501,100533.758
108.553672,-0.86139679,100533.625
108.573668,-0.829689026,100533.234
108.593676,-0.805908203,100532.953
108.613684,-0.821762085,100533.164
108.63368,-0.834976196,100533.32
108.653672,-0.819122314,100533.117
108.673668,-0.808547974,100532.984
108.693668,-0.813835144,100533.047
108.71368,-0.790054321,100532.773
108.73368,-0.750419617,100532.297
108.753672,-0.77684021,100532.617
108.773668,-0.737205505,100532.156
108.793668,-0.790054321,100532.781
108.813672,-0.840255737,100533.367
108.833684,-0.856109619,100533.562
108.853668,-0.829689026,100533.234
108.873668,-0.840255737,100533.383
108.893668,-0.858757019,100533.578
108.913672,-0.887817383,100533.953
108.933688,-0.895744324,100534.039
108.953692,-0.903671265,100534.141
108.973672,-0.903671265,100534.141
108.993672,-0.914245605,100534.258
109.013672,-0.959159851,100534.805
109.033692,-0.972373962,100534.945
109.053692,-1.0067215,100535.375
109.073684,-1.0093689,100535.406
109.093672,-0.964447021,100534.844
109.113672,-0.943305969,100534.609
109.133676,-0.961807251,100534.836
109.153676,-0.956520081,100534.773
109.173676,-0.993515015,100535.195
109.193672,-1.01200867,100535.422
109.213672,-1.00408173,100535.344
109.233676,-0.993515015,100535.195
109.253672,-0.94859314,100534.672
109.273672,-0.94859314,100534.656
109.293672,-0.972373962,100534.938
109.313672,-1.0093689,100535.391
109.33368,-1.05428314,100535.938
109.353676,-1.06485748,100536.055
109.373688,-1.06485748,100536.039
109.393684,-1.05693054,100535.953
109.413672,-0.998794556,100535.266
109.43368,-0.985588074,100535.109
109.453676,-0.972373962,100534.961
109.473672,-0.969734192,100534.914
109.493676,-0.985588074,100535.109
109.513676,-0.930099487,100534.453
109.53368,-0.914245605,100534.266
109.553684,-0.86668396,100533.688
109.573676,-0.842903137,100533.406
109.593676,-0.86139679,100533.641
109.61368,-0.86139679,100533.625
109.63368,-0.86932373,100533.727
109.65368,-0.86139679,100533.609
109.673672,-0.901031494,100534.109
109.693672,-0.850830078,100533.5
109.713676,-0.813835144,100533.062
109.733696,-0.829689026,100533.234
109.75368,-0.853469849,100533.539
109.773676,-0.834976196,100533.32
109.793676,-0.850830078,100533.484
109.81368,-0.86403656,100533.648
109.833684,-0.914245605,100534.242
109.85368,-0.922172546,100534.344
109.873676,-0.938026428,100534.555
109.893676,-0.916885376,100534.289
109.91394,-0.927452087,100534.422
109.933704,-0.919525146,100534.305
109.953692,-0.924812317,100534.391
109.973676,-0.916885376,100534.289
109.99368,-0.919525146,100534.305
110.01368,-0.943305969,100534.602
110.033676,-0.932739258,100534.492
110.05368,-0.932739258,100534.492
110.073676,-0.901031494,100534.094
110.093676,-0.874610901,100533.789
110.113676,-0.877250671,100533.805
110.13368,-0.945953369,100534.648
110.15368,-0.922172546,100534.344
110.173696,-0.932739258,100534.461
110.19368,-0.972373962,100534.945
110.21368,-0.977661133,100535.016
110.23368,-1.01993561,100535.508
110.253684,-1.01200867,100535.43
110.273688,-0.993515015,100535.195
110.293684,-0.988227844,100535.148
110.31368,-1.0067215,100535.367
110.333684,-1.05693054,100535.953
110.35368,-0.998794556,100535.25
110.373692,-1.01200867,100535.414
110.393692,-0.993515015,100535.195
110.41368,-1.03050232,100535.648
110.433684,-1.02257538,100535.562
110.453696,-1.01729584,100535.477
110.47368,-1.03842926,100535.742
110.493684,-1.08863831,100536.344
110.513684,-1.03578949,100535.695
110.53368,-1.04107666,100535.758
110.55368,-1.05693054,100535.945
110.57368,-1.07542419,100536.172
110.59368,-1.08863831,100536.336
110.613684,-1.12298584,100536.734
110.633692,-1.09127808,100536.375
110.653688,-1.0490036,100535.867
110.67368,-1.01729584,100535.469
110.69368,-0.996154785,100535.234
110.713684,-0.996154785,100535.234
110.733684,-0.975013733,100534.969
110.75368,-0.922172546,100534.359
110.77368,-0.86403656,100533.648
110.79368,-0.816474915,100533.086
110.81368,-0.768913269,100532.531
110.833684,-0.77948761,100532.641
110.853688,-0.768913269,100532.531
110.873684,-0.758346558,100532.383
110.893684,-0.792694092,100532.805
110.913684,-0.747779846,100532.281
110.933696,-0.747779846,100532.281
110.953684,-0.710784912,100531.828
110.973684,-0.68964386,100531.562
110.993688,-0.660583496,100531.211
111.013684,-0.68964386,100531.562
111.033688,-0.687004089,100531.531
111.053692,-0.697570801,100531.664
111.073688,-0.734565735,100532.102
111.093684,-0.834976196,100533.297
111.113684,-0.819122314,100533.125
111.133688,-0.845542908,100533.422
111.153688,-0.86139679,100533.633
111.173684,-0.890464783,100533.984
